Player,Team,Age,Nationality,Runs,BattingAverage,StrikeRate,100s,50s,Wickets,BowlingAverage,Economy,Role,AuctionPrice,AcquisitionType
Mustafizur Rahman (DC),DC,29,Bangladesh,0,0,0,0,0,4,21.75,7.9,Bowler,9.2,Bought
N Pooran (LSG),LSG,29,West Indies,524,43.66,196.25,0,5,0,0,0,Wicketkeeper,21.0,Retained
N Rana (RR),RR,31,India,217,21.7,161.94,0,2,0,0,0,Batsman,4.2,Retained
N Thushara (RCB),RCB,30,Sri Lanka,0,0,0,0,0,1,26,6.5,Bowler,1.6,Retained
N Wadhera (PBKS),PBKS,24,India,369,30.75,145.84,0,2,0,0,0,Batsman,4.2,Retained
NT Ellis (CSK),CSK,30,Australia,0,0,0,0,0,1,38,9.5,Bowler,2.0,Retained
NT Tilak Varma (MI),MI,22,India,343,31.18,138.3,0,2,0,0,0,Batsman,8.0,Retained
Naman Dhir (MI),MI,25,India,252,31.5,182.6,0,0,0,0,0,Batsman,5.2,Retained
Noor Ahmad (CSK),CSK,20,West Indies,7,1.75,41.17,0,0,24,17,8.16,Bowler,10.0,Retained
P Arya (PBKS),PBKS,24,India,475,27.94,179.24,1,2,0,0,0,Batsman,3.8,Retained
P Dubey (PBKS),PBKS,31,India,0,0,0,0,0,1,20,10,Bowler,0.3,Bought
PD Salt (RCB),RCB,28,England,403,33.58,175.98,0,4,0,0,0,Wicketkeeper,11.5,Retained
PHKD Mendis (SRH),SRH,26,India,92,30.66,133.33,0,0,2,30,8.57,Bowler,0.8,Retained
PJ Cummins (SRH),SRH,32,England,97,24.25,167.24,0,0,16,28.12,9.06,Bowler,18.0,Retained
PVD Chameera (DC),DC,33,Sri Lanka,10,-,71.42,0,0,4,42.75,11.4,Bowler,0.8,Retained
PW Hasaranga (RR),RR,27,Afghanistan,9,1.8,60,0,0,11,33.72,9.04,Bowler,2.0,Bought
PWA Mulder (SRH),SRH,27,India,9,9,81.81,0,0,0,0,0,Batsman,N/A,Unsold
Prabhsimran Singh (PBKS),PBKS,24,India,549,32.29,160.52,0,4,0,0,0,Batsman,4.0,Retained
Prince Yadav (LSG),LSG,23,Afghanistan,5,-,50,0,0,3,75,9.85,Bowler,0.3,Retained
Q de Kock (KKR),KKR,32,India,152,21.71,129.91,0,1,0,0,0,Wicketkeeper,1.0,Bought
R Ashwin (CSK),CSK,38,India,33,8.25,110,0,0,7,40.42,9.12,Bowler,N/A,N/A
R Minz (MI),MI,22,India,6,3,40,0,0,0,0,0,Batsman,0.7,Retained
R Parag (RR),RR,23,India,393,32.75,166.52,0,1,3,56.66,8.5,Batsman,14.0,Retained
R Powell (KKR),KKR,31,India,5,5,100,0,0,0,0,0,Batsman,1.5,Retained
R Ravindra (CSK),CSK,25,Australia,191,27.28,128.18,0,1,0,0,0,Batsman,2.0,Bought
R Sai Kishore (GT),GT,28,India,5,1.66,50,0,0,19,20.68,9.24,Bowler,2.0,Retained
R Shepherd (RCB),RCB,30,India,70,35,291.66,0,1,6,25.16,10.78,Bowler,1.5,Retained
R Tewatia (GT),GT,31,Sri Lanka,99,12.37,167.79,0,0,0,0,0,Batsman,4.0,Retained
RA Bawa (MI),MI,22,India,8,-,200,0,0,0,0,0,Batsman,0.3,Retained
