Player,Role,PlayerValueScore,AuctionPrice,AcquisitionType
MA Starc (DC),Bowler,70.6,11.8,Retained
KV Sharma (MI),Bowler,69.8,16.3,Retained
YBK Jaiswal (RR),Batsman,69.6,18.0,Retained
PW Hasaranga (RR),Bowler,69.3,2.0,Bought
Yash Dayal (RCB),Bowler,69.0,5.0,Retained
P Arya (PBKS),Batsman,68.8,3.8,Retained
DL Chahar (MI),Bowler,68.5,9.2,Retained
N Thushara (RCB),Bowler,68.3,1.6,Retained
M Pathirana (CSK),Bowler,67.2,18.0,Bought
Mustafizur Rahman (DC),Bowler,67.2,9.2,Bought
MM Ali (KKR),Bowler,67.1,N/A,N/A
AS Roy (KKR),Bowler,66.7,0.4,Retained
JC Archer (RR),Bowler,65.5,12.5,Retained
V Puthur (MI),Bowler,65.4,0.3,Bought
Avesh Khan (LSG),Bowler,65.1,9.8,Retained
M Theekshana (RR),Bowler,64.6,N/A,Unsold
Mukesh Kumar (DC),Bowler,64.3,8.0,Retained
SN Thakur (LSG),Bowler,63.8,2.0,Retained
V Sooryavanshi (RR),Batsman,63.1,1.1,Retained
Prabhsimran Singh (PBKS),Batsman,62.8,4.0,Retained
GJ Maxwell (PBKS),Bowler,62.7,N/A,N/A
LH Ferguson (PBKS),Bowler,62.5,2.0,Retained
Akash Singh (LSG),Bowler,61.4,0.3,Retained
Ashwani Kumar (MI),Bowler,61.2,0.3,Retained
R Ashwin (CSK),Bowler,60.5,N/A,N/A
Sandeep Sharma (RR),Bowler,59.8,4.0,Retained
HS Dubey (SRH),Bowler,59.7,0.3,Retained
Ishan Kishan (SRH),Wicketkeeper,59.5,11.2,Retained
Suyash Sharma (RCB),Bowler,59.3,2.6,Retained
SP Narine (KKR),All-Rounder,59.2,12.0,Retained
PD Salt (RCB),Wicketkeeper,58.2,11.5,Retained
PHKD Mendis (SRH),Bowler,58.1,0.8,Retained
Rashid Khan (GT),Bowler,57.8,18.0,Retained
AK Markram (LSG),Batsman,57.6,2.0,Retained
Azmatullah Omarzai (PBKS),Bowler,57.5,2.4,Retained
RA Jadeja (CSK),All-Rounder,57.1,14.0,Retained
KA Jamieson (PBKS),Bowler,56.9,2.0,Bought
TU Deshpande (RR),Bowler,56.8,6.5,Retained
L Ngidi (RCB),Bowler,56.2,2.0,Bought
KH Pandya (RCB),All-Rounder,56.1,5.8,Retained
Shashank Singh (PBKS),Batsman,56.1,5.5,Retained
HH Pandya (MI),All-Rounder,55.7,16.4,Retained
R Shepherd (RCB),Bowler,54.7,1.5,Retained
TH David (RCB),Batsman,54.2,3.0,Retained
Arshad Khan (GT),Bowler,53.8,1.3,Retained
Ravi Bishnoi (LSG),Bowler,53.8,7.2,Bought
RG Sharma (MI),Batsman,53.4,16.3,Retained
C Bosch (MI),Bowler,53.1,0.8,Retained
TM Head (SRH),Batsman,52.3,14.0,Retained
V Nigam (DC),All-Rounder,52.2,0.5,Retained
AM Rahane (KKR),Batsman,52.2,1.5,Retained
P Dubey (PBKS),Bowler,52.0,0.3,Bought
M Siddharth (LSG),Bowler,52.0,0.8,Retained
R Parag (RR),Batsman,51.7,14.0,Retained
WG Jacks (MI),All-Rounder,51.4,5.2,Retained
K Khejroliya (GT),Bowler,51.2,N/A,Unsold
Zeeshan Ansari (SRH),Bowler,50.8,0.4,Retained
