Player,Team,Age,Nationality,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Best Innings Bowling,Ave,Econ,SR,4,5
TU Deshpande (RR),RR,29,India,10,10,192,32,0,340,9,3/44,37.77,10.62,21.33,0,0
V Nigam (DC),DC,20,India,14,13,234,39,0,356,11,2/18,32.36,9.12,21.27,0,0
V Puthur (MI),MI,24,India,5,5,72,12,0,109,6,3/32,18.16,9.08,12,0,0
V Vyshak (PBKS),PBKS,28,India,5,5,102,17,0,181,4,2/44,45.25,10.64,25.5,0,0
VG Arora (KKR),KKR,27,India,12,12,255,42.3,1,430,17,3/29,25.29,10.11,15,0,0
W O'Rourke (LSG),LSG,23,New Zealand,3,3,62,10.2,0,132,6,3/27,22,12.77,10.33,0,0
Washington Sundar (GT),GT,25,India,6,5,65,10.5,0,111,2,1/28,55.5,10.24,32.5,0,0
WG Jacks (MI),MI,26,England,13,8,84,14,0,120,6,2/14,20,8.57,14,0,0
XC Bartlett (PBKS),PBKS,26,Australia,4,4,60,10,0,96,2,1/26,48,9.6,30,0,0
Yash Dayal (RCB),RCB,27,India,15,15,294,49,0,470,13,2/18,36.15,9.59,22.61,0,0
YS Chahal (PBKS),PBKS,34,India,14,13,270,45,0,430,16,4/28,26.87,9.55,16.87,2,0
Yudhvir Singh (RR),RR,27,India,4,4,66,11,0,131,4,3/47,32.75,11.9,16.5,0,0
Zeeshan Ansari (SRH),SRH,25,India,10,10,203,33.5,0,333,6,3/42,55.5,9.84,33.83,0,0
